emergency_type_name,total_funding,project_count,average_funding,funding_share_percent
Displacement,109403629.0,73,1498679.8493150685,52.63865712036604
Violence/Clashes,37500000.7,8,4687500.0875,18.042817198146018
Flood,25885710.11,23,1125465.6569565218,12.454696715750469
Cholera,12257408.01,7,1751058.2871428572,5.897551144512932
Drought,11000000.48,3,3666666.8266666667,5.292559843609776
Economic Disruption,6000007.52,4,1500001.88,2.886854316001691
Unspecified Health Emergency,2334677.0,3,778225.6666666666,1.1233106544372933
Multiple Emergencies,1999202.0,2,999601.0,0.961899614795685
Ebola,1458309.0,2,729154.5,0.7016533923800999
